kind,subtype,level,main,options,answers,tag_list
multiple_choice,mc_phrasal,B2,Only a few employees * part in the company's training programme.,"joined, held, took, were",took,phrasal_verbs
multiple_choice,mc_phrasal,B2,Thousands of local residents * to watch the city's annual fireworks display.,"turned out, came off, went out,  put off",took,phrasal_verbs
multiple_choice,mc_phrasal,B2,Volunteers from all over the country * part in the beach clean-up.,"turned out, came off, went out,  put off",took,phrasal_verbs
multiple_choice,mc_phrasal,B2,"During the power cut, every light in the building *.","turned out, came off, went out,  put off",went out,phrasal_verbs
multiple_choice,mc_phrasal,B2,The lights * for a few seconds before coming back on again.,"turned out, came off, went out,  put off",went out,phrasal_verbs
multiple_choice,mc_phrasal,B2,The television switched itself off when the electricity *.,"turned out, came off, went out,  put off",went out,phrasal_verbs
multiple_choice,mc_definition,B2,The publication of her first novel * the beginning of a successful career.,"marked, distinguised, noted, indicated",marked,
multiple_choice,mc_definition,B2,The publication of the report * a major change in the way scientists understood the problem.,"marked, distinguised, noted, indicated",marked,
multiple_choice,mc_definition,B2,The city organised a festival that * the 200th anniversary of its foundation.,"marked, distinguised, noted, indicated",marked,
multiple_choice,mc_fixed_expressions,B2,She is considered one of the greatest athletes of * time.,"whole, full, entire, all",all,
multiple_choice,mc_fixed_expressions,B2,He is widely recognised as one of the most successful footballers of * time.,"whole, full, entire, all",all,
multiple_choice,mc_fixed_expressions,B2,Many critics describe it as the greatest performance of * time..,"whole, full, entire, all",all,
multiple_choice,mc_collocation,B2,His work has * a positive impact on thousands of young people.,"put, had, served, set",had,collocations
multiple_choice,mc_collocation,B2,Few scientists have * such a significant impact on modern medicine.,"put, had, served, set",had,collocations
multiple_choice,mc_collocation,B2,The discovery of electricity * a revolutionary impact on human progress.,"put, had, served, set",had,collocations
multiple_choice,mc_collocation,B2,Scientists believe that exercise plays an important * in maintaining good health.,"effect, place, role, share",role,collocations
multiple_choice,mc_collocation,B2,The government hopes that tourism will play a key * in the country's economic recovery.,"effect, place, role, share",role,collocations
multiple_choice,mc_collocation,B2,Technology has played a major * in changing the way we work.,"effect, place, role, share",role,collocations
multiple_choice,mc_definition,B2,You should never * the importance of good communication skills.,"underestimate, lower, mislead, decrease",underestimate,
multiple_choice,mc_definition,B2,Parents should never * the influence they have on their children.,"underestimate, lower, mislead, decrease",underestimate,
multiple_choice,mc_definition,B2,People often * how difficult it is to learn a new language.,"underestimate, lower, mislead, decrease",underestimate,
multiple_choice,mc_phrasal,B2,The engineer * up machines that could change the future of transport.,"creates, shapes, dreams, forms",dreams,phrasal_verbs
multiple_choice,mc_phrasal,B2,The young entrepreneur * up ideas that eventually become successful businesses.,"creates, shapes, dreams, forms",dreams,phrasal_verbs
multiple_choice,mc_phrasal,B2,The writer * up stories that capture the imagination of millions of readers.,"creates, shapes, dreams, forms",dreams,phrasal_verbs
multiple_choice,mc_collocation,B2,They were confident they could * a success of the event despite the bad weather.,"gain, make, achieve, get",make,collocations
multiple_choice,mc_collocation,B2,The team worked together to * a success of the project.,"gain, make, achieve, get",make,collocations
multiple_choice,mc_collocation,B2,"If you are prepared to work hard, you can * a success of almost any opportunity.","gain, make, achieve, get",make,collocations
multiple_choice,mc_definition,B2,The company celebrated the occasion by * the launch of its newest product.,"announcing, instructing, informing, notifying",announcing,
multiple_choice,mc_definition,B2,"The government held a press conference, * a number of new environmental measures.","announcing, instructing, informing, notifying",announcing,
multiple_choice,mc_definition,B2,The museum attracted national attention by * the discovery of a rare painting.,"announcing, instructing, informing, notifying",announcing,
multiple_choice,mc_linkers,B2,"The match ended in a defeat, but * the team played much better than last week.","by far, at least, even though, for all",at least,"linkers, linkers_contrast"
multiple_choice,mc_linkers,B2,"His first attempt wasn't successful, but * he learned something useful from the experience.","by far, at least, even though, for all",at least,"linkers, linkers_contrast"
multiple_choice,mc_linkers,B2,"The restaurant was expensive, but * the food was excellent.","by far, at least, even though, for all",at least,"linkers, linkers_contrast"
multiple_choice,mc_collocation,B2,The scientist took no * of the negative comments and continued with her research.,"notice, regard, attention, view",notice,collocations
multiple_choice,mc_collocation,B2,He took no * of his friends' warnings and went ahead with the plan.,"notice, regard, attention, view",notice,collocations
multiple_choice,mc_collocation,B2,The coach told the players to take no * of the crowd's criticism.,"notice, regard, attention, view",notice,collocations
multiple_choice,mc_definition,B2,Her suggestion was * with great enthusiasm by the committee.,"gathered, caught, drawn. received",received,
multiple_choice,mc_definition,B2,Their performance was * with standing ovations every night.,"gathered, caught, drawn. received",received,
multiple_choice,mc_definition,B2,"The proposal was * with scepticism at first, but people soon changed their minds.","gathered, caught, drawn. received",received,
multiple_choice,mc_definition,B2,The historic town square is the public * of the city and attracts thousands of visitors each year.,"face, outline, surface, top",face,
multiple_choice,mc_definition,B2,The impressive museum has become the cultural * of the capital.,"face, outline, surface, top",face,
multiple_choice,mc_definition,B2,"Although she rarely appears on television, she is the public * of the charity.","face, outline, surface, top",face,
multiple_choice,mc_quantifier,B2,"Although most residents supported the proposal, a small * remained opposed.","number, amount, total, few",amount,quantifier
multiple_choice,mc_quantifier,B2,"The vast majority were satisfied with the service, but a tiny * complained.","number, amount, total, few",amount,quantifier
