kind,subtype,level,main,answers,tag_list
open_cloze,oc_preposition,B2,The city of Alexandria in Egypt was named * Alexander the Great.,after,"fixed_expressions, dependent_prep"
open_cloze,oc_preposition,B2,The football stadium is named * the club's most successful manager.,after,"fixed_expressions, dependent_prep"
open_cloze,oc_preposition,B2,Many streets in the capital are named * famous writers and artists.,after,"fixed_expressions, dependent_prep"
open_cloze,oc_preposition,B2,Alex was the last person * leave the office that evening.,to,using_infinitive
open_cloze,oc_preposition,B2,This was the only route * reach the village during the winter.,to,using_infinitive
open_cloze,oc_preposition,B2,She was the last customer * enter the shop before it closed.,to,using_infinitive
open_cloze,oc_auxiliary,B2,"When the scientists examined the cave, it * already been discovered many years earlier.",had,"past_tenses, auxiliary_verbs"
open_cloze,oc_auxiliary,B2,"By the time the students entered the classroom, the exam papers * already been handed out.",had,"past_tenses, auxiliary_verbs"
open_cloze,oc_auxiliary,B2,"Before the firefighters arrived, the building * already been evacuated.",had,"past_tenses, auxiliary_verbs"
open_cloze,oc_linkers,B2,"The concert went ahead, even * many people expected it to be cancelled.",though,"linkers, linkers_contrast"
open_cloze,oc_linkers,B2,"Sarah bought the jacket, even * it was more expensive than she had expected.",though,"linkers, linkers_contrast"
open_cloze,oc_linkers,B2,"Daniel finished the race, even * he had injured his ankle.",though,"linkers, linkers_contrast"
open_cloze,oc_relative_pronoun,B2,The coach thanked everyone * had supported the team throughout the season.,"who, that",relative_clause
open_cloze,oc_relative_pronoun,B2,The hotel offered a free drink to everyone * stayed for more than three nights.,"who, that",relative_clause
open_cloze,oc_relative_pronoun,B2,Everyone * attended the meeting received a copy of the report.,"who, that",relative_clause
open_cloze,oc_article,B2,Thousands of tourists visit * city of Prague every year.,the,articles
open_cloze,oc_article,B2,The exhibition tells the story of * city of Rome during ancient times.,the,articles
open_cloze,oc_article,B2,Scientists are studying the wildlife in * Amazon rainforest.,the,articles
open_cloze,oc_preposition,B2,Travellers who are * search of a quiet holiday often choose the smaller islands.,in,"fixed_expressions, prepositions"
open_cloze,oc_preposition,B2,The rescue team spent hours * search of the missing climbers.,in,"fixed_expressions, prepositions"
open_cloze,oc_preposition,B2,he documentary follows a photographer * search of the world's most endangered animals.,in,"fixed_expressions, prepositions"
open_cloze,oc_preposition,B2,The castle is approximately fifteen minutes * the town by car.,from,prepositions
open_cloze,oc_preposition,B2,The hotel is only a short drive * the national park.,from,prepositions
open_cloze,oc_preposition,B2,The campsite is about twenty minutes * the nearest village.,from,prepositions
open_cloze,oc_as_like,B2,The village has been recognised * one of the country's most beautiful places.,as,as_or_like
open_cloze,oc_as_like,B2,The scientist is widely regarded * an expert in climate change.,as,as_or_like
open_cloze,oc_as_like,B2,The island has often been described * a paradise for nature lovers.,as,as_or_like
open_cloze,oc_determiner,B2,The nature reserve welcomes school groups * single day during the spring.,every,determiners
open_cloze,oc_determiner,B2,The exhibition is visited by thousands of tourists *  single month.,every,determiners
open_cloze,oc_determiner,B2,More than a million people visit the museum * single year.,every,determiners
open_cloze,oc_negation,B2,There is * better way to learn a language than by using it every day.,no,negation
open_cloze,oc_negation,B2,There is * place I'd rather spend my holidays than by the sea.,no,negation
open_cloze,oc_negation,B2,"For many people, there is * substitute for practical experience.","no, little",negation
open_cloze,oc_as_like,B2,There is no other restaurant in town quite * this one.,like,"as_or_like, comparisons"
open_cloze,oc_as_like,B2,There is no feeling quite * winning your first competition.,like,"as_or_like, comparisons"
open_cloze,oc_as_like,B2,The atmosphere at the festival was unlike anything I'd experienced before; there was nothing quite * it.,like,"as_or_like, comparisons"
open_cloze,oc_inversion,B2,"The course teaches students not just grammar, * also how to communicate confidently.",but,"inversion, negetion, linkers, linkers_addition"
open_cloze,oc_inversion,B2,"The festival offers not only live music, * also workshops for young artists.",but,"inversion, negetion, linkers, linkers_addition"
open_cloze,oc_inversion,B2,"The city is famous not only for its history, * also for its excellent restaurants.",but,"inversion, negetion, linkers, linkers_addition"
open_cloze,oc_article,B2,The library is one of * largest public buildings in the city.,the,articles
open_cloze,oc_article,B2,The island is one of * most beautiful places I've ever visited.,the,articles
open_cloze,oc_article,B2,This is one of * most popular tourist attractions in the region.,the,articles
open_cloze,oc_negation,B2,"Despite the renovation work, the building doesn't look different at *.",all,"prepostions, negation"
open_cloze,oc_negation,B2,The weather forecast hasn't improved at * since yesterday.,all,"prepostions, negation"
open_cloze,oc_negation,B2,The museum has hardly changed at * over the last fifty years.,all,"prepostions, negation"
open_cloze,oc_negation,B2,The bridge is * longer safe for heavy vehicles.,no,negation
open_cloze,oc_negation,B2,The building is * longer used as a railway station.,no,negation
open_cloze,oc_negation,B2,This phone model is * longer available in shops.,no,negation
open_cloze,oc_auxiliary,B2,The company isn't as successful as it once *.,was,"auxiliary_verbs, subtitution"
open_cloze,oc_auxiliary,B2,The town is no longer the busy port that it once *.,was,"auxiliary_verbs, subtitution"
open_cloze,oc_auxiliary,B2,The neighbourhood isn't as crowded as it once *.,was,"auxiliary_verbs, subtitution"
open_cloze,oc_auxiliary,B2,"A hundred years ago, this railway station * to serve thousands of passengers every day.",used,past_tenses
open_cloze,oc_auxiliary,B2,The building * to be a school before it became a museum.,used,past_tenses
open_cloze,oc_auxiliary,B2,This road * to be much quieter before the new motorway was built.,used,past_tenses
open_cloze,oc_auxiliary,B2,"Before online shopping became popular, the town centre would have * full of customers every Saturday.",been,"auxiliary_verbs, past_tenses"
open_cloze,oc_auxiliary,B2,"In the past, the castle halls would have * crowded with visitors during festivals.",been,"auxiliary_verbs, past_tenses"
open_cloze,oc_auxiliary,B2,"At the height of the mining industry, the village would have * home to thousands of workers.",been,"auxiliary_verbs, past_tenses"
open_cloze,oc_causative,B2,"The app has a simple design, which * it easy for beginners to use.","makes, made",causative
open_cloze,oc_causative,B2,"The roads are well signposted, which * the village easy to find.","makes, made",causative
open_cloze,oc_causative,B2,"he bus service runs every ten minutes, which * travelling around the city much easier.","makes, made",causative
open_cloze,oc_preposition,B2,"Although buses are available, many tourists prefer to discover the town * foot.","on, by",prepositions
open_cloze,oc_preposition,B2,"The castle is only a short distance away, so it's best to continue * foot.","on, by",prepositions
open_cloze,oc_preposition,B2,"Once you reach the old bridge, you can only cross it * foot.","on, by",prepositions
open_cloze,oc_negation,B2,Technology has changed * only the way we work but also the way we communicate.,not,negation
open_cloze,oc_negation,B2,The scholarship is available * only to university students but to apprentices as well.,not,negation
open_cloze,oc_negation,B2,The storm affected * only the coast but inland areas too.,not,negation
open_cloze,oc_fixed_expressions,B2,The museum is so authentic that you feel you * a step back into the nineteenth century.,take,fixed_expressions
